registro_id,cedula,funcionario,anio,tipo_presentacion,institucion,cargo,activos_gs,pasivos_gs,patrimonio_neto_gs,ingreso_mensual_gs,ingreso_anual_gs,egreso_mensual_gs,egreso_anual_gs,fuente
REG-100021,4471080,FUNCIONARIO_022,2022,ACTUALIZACION,Universidad Nacional de Asunción,Técnico/a,"3.435.659,67","1.953.354,62","1.482.305,05","6.843.129,26","6.843.129,26","3.484.304,09",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100022,3648081,FUNCIONARIO_023,2022,ACTUALIZACION,Poder Judicial,Actuario/a,"17.604.023,42","4.288.679,33","13.315.344,09","11.350.922,76","0,00","5.283.221,03","3.597.152,04",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100023,2803649,FUNCIONARIO_024,2023,CESE,MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,Médico/a,"16.273.707,72","5.563.162,47","10.710.545,25","5.577.969,91","0,00","3.195.517,17",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100024,3317115,FUNCIONARIO_025,2020,OTRO,Ministerio de Educación y Ciencias,Administrativo/a,"14.506.504,42","1.633.162,84","12.873.341,58","4.380.780,72","0,00","2.685.203,47",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100025,1666326,FUNCIONARIO_026,2021,ACTUALIZACION,Instituto de Previsión Social,Enfermero/a,"10.879.169,04","3.765.365,47","7.113.803,57","7.190.874,32","0,00","2.807.405,31",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100026,4094791,FUNCIONARIO_027,2024,ACTUALIZACION,Poder Judicial,Auxiliar jurisdiccional,"66.494.066,48","15.189.701,79","51.304.364,69","6.639.631,13","0,00","3.256.473,71",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100027,3900603,FUNCIONARIO_028,2018,ACTUALIZACION,Ministerio de Obras Públicas y Comunicaciones,Administrativo/a,"19.730.838,97","1.758.337,03","17.972.501,94","4.798.289,77","4.798.289,77","3.177.519,96","2.815.246,07",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100028,1750201,FUNCIONARIO_029,2024,ACTUALIZACION,Ministerio de Educación y Ciencias,Docente,"819.680,97","45.479,42","774.201,55","2.661.892,78","2.661.892,78","998.271,67",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100029,2686293,FUNCIONARIO_030,2022,CESE,Gobernación de Central,Director/a,"5.723.417,20","2.796.649,81","2.926.767,39","6.069.107,19","6.069.107,19","3.570.894,21",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100030,3873817,FUNCIONARIO_031,2021,OTRO,Poder Judicial,Auxiliar jurisdiccional,"25.146.097,26","5.877.639,29","19.268.457,97","6.685.995,13","6.685.995,13","2.844.168,95","397.406,23",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100031,1887225,FUNCIONARIO_032,2024,OTRO,Universidad Nacional de Asunción,Administrativo/a,"3.231.146,20","1.014.585,64","2.216.560,56","1.200.000,00","0,00","613.300,11","473.067,54",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100032,1536226,FUNCIONARIO_033,2020,ASUNCION AL CARGO,Ministerio de Salud Pública y Bienestar Social,Administrativo/a,"8.702.454,07","2.074.378,37","6.628.075,70","10.408.031,34","10.408.031,34","7.227.422,27","4.396.795,70",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100033,3764673,FUNCIONARIO_034,2022,ASUNCION AL CARGO,Ministerio de Salud Pública y Bienestar Social,Chofer,"66.072.933,39","22.280.473,68","43.792.459,71","4.552.694,14","0,00","1.729.228,69","479.980,99",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100034,3922097,FUNCIONARIO_035,2019,ACTUALIZACION,Ministerio de Salud Pública y Bienestar Social,Chofer,"5.203.940,65","3.395.347,93","1.808.592,72","5.669.861,35","0,00","3.193.810,82","2.444.218,81",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100035,4970001,FUNCIONARIO_036,2022,ACTUALIZACION,Instituto de Previsión Social,Técnico/a,"8.838.363,17","2.620.845,73","6.217.517,44","6.009.062,23","6.009.062,23","4.662.534,81","1.664.148,03",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100036,1634736,FUNCIONARIO_037,2019,ASUNCION AL CARGO,Universidad Nacional de Asunción,Técnico/a,"1.953.791,71","313.078,29","1.640.713,42","6.257.897,19","0,00","3.206.693,09",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100037,2768831,FUNCIONARIO_038,2024,ACTUALIZACION,Ministerio de Educación y Ciencias,Docente,"588.256.537,02","2.370.142,33","585.886.394,69","5.735.243,08","0,00","2.794.811,85",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100038,4496333,FUNCIONARIO_039,2019,ASUNCION AL CARGO,Ministerio de Salud Pública y Bienestar Social,Lic. en Enfermería,"276.746,33","59.549,46","217.196,87","3.432.838,25","0,00","2.575.656,87","2.011.081,99",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100039,4323532,FUNCIONARIO_040,2019,CESE,Poder Judicial,Juez/a de Paz,"117.467.745,57","13.180.414,45","104.287.331,12","4.147.950,30","4.147.950,30","1.632.146,90","399.276,48",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100040,3615075,FUNCIONARIO_041,2022,ASUNCION AL CARGO,Gobernación de Central,Director/a,"2.832.358,59","59.234,85","2.773.123,74","6.009.333,14","0,00","4.448.759,17","2.256.737,80",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100041,3745401,FUNCIONARIO_042,2023,,Ministerio de Economía y Finanzas,Técnico/a,"14.540.307,29","0,00","14.540.307,29","7.588.938,37","0,00","2.693.178,14","2.335.597,12",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100042,1213920,FUNCIONARIO_043,2020,ACTUALIZACION,Ministerio de Educación y Ciencias,Técnico/a,"12.937.097,04","3.138.833,54","9.798.263,50","5.201.886,69","0,00","2.006.072,59",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100043,3598260,FUNCIONARIO_044,2020,RENOVACION DE CONTRATO,Ministerio de Salud Pública y Bienestar Social,Chofer,"8.101.376,15","2.646.272,27","5.455.103,88","5.845.102,42","5.845.102,42","3.188.226,65",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100044,2563299,FUNCIONARIO_045,2022,OTRO,ESSAP,Seguridad,"25.294.274,09","6.600.934,74","18.693.339,35","2.995.095,31","0,00","1.480.576,93","429.268,88",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100045,2367763,FUNCIONARIO_046,2022,ACTUALIZACION,Ministerio de Obras Públicas y Comunicaciones,Ingeniero/a,"5.911.088,96","523.785,31","5.387.303,65","2.431.855,18","0,00","1.174.821,64",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100046,4314692,FUNCIONARIO_047,2019,OTRO,Ministerio de Economía y Finanzas,Director/a,"35.517.709,35","0,00","35.517.709,35","5.471.230,92","5.471.230,92","3.212.612,61",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100047,4251298,FUNCIONARIO_048,2019,OTRO,Universidad Nacional de Asunción,Docente,"6.786.961,79","2.882.011,34","3.904.950,45","5.386.638,88","5.386.638,88","2.970.936,35",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100048,4652692,FUNCIONARIO_049,2020,RENOVACION DE CONTRATO,Ministerio de Salud Pública y Bienestar Social,Lic. en Enfermería,"4.928.653,61","2.421.716,85","2.506.936,76","5.836.771,96","5.836.771,96","2.991.204,01",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100049,3898073,FUNCIONARIO_050,2024,ACTUALIZACION,Instituto de Previsión Social,Administrativo/a,"5.637.398,45","1.075.230,21","4.562.168,24","3.365.118,14","0,00","1.342.109,28",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100050,3636694,FUNCIONARIO_051,2021,ASUNCION AL CARGO,Ministerio de Obras Públicas y Comunicaciones,Técnico/a,"7.647.065,89","0,00","7.647.065,89","1.200.000,00","1.200.000,00","724.417,24","376.830,34",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100051,1780722,FUNCIONARIO_052,2020,ACTUALIZACION,Poder Judicial,Auxiliar jurisdiccional,"78.599.381,55","3.983.793,98","74.615.587,57","11.807.052,66","0,00","6.123.904,25",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100052,4463351,FUNCIONARIO_053,2018,OTRO,Universidad Nacional de Asunción,Docente,"18.444.511,25","9.011.013,34","9.433.497,91","5.085.113,47","5.085.113,47","2.101.380,41",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100053,4807178,FUNCIONARIO_054,2021,OTRO,Ministerio de Salud Pública y Bienestar Social,Médico/a,"14.375.813,07","197.905,16","14.177.907,91","6.209.535,08","0,00","3.401.901,49","2.307.595,86",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100054,2529297,FUNCIONARIO_055,2022,CESE,Poder Judicial,Actuario/a,"7.813.495,94","1.750.488,93","6.063.007,01","11.026.475,09","0,00","4.770.982,41","799.173,98",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100055,2222869,FUNCIONARIO_056,2018,ASUNCION AL CARGO,Poder Judicial,Auxiliar jurisdiccional,"11.435.319,65","388.486,78","11.046.832,87","7.716.602,59","0,00","5.353.365,82",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100056,2720684,FUNCIONARIO_057,2023,ASUNCION AL CARGO,Ministerio de Educación y Ciencias,Administrativo/a,"3.226.492,86","239.558,63","2.986.934,23","5.201.192,62","5.201.192,62","2.645.497,50","1.583.212,31",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100057,1431734,FUNCIONARIO_058,2021,ACTUALIZACION,Gobernación de Central,Técnico/a,"5.019.766,30","1.186.503,90","3.833.262,40","7.784.429,18","0,00","3.075.579,25",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100058,2697900,FUNCIONARIO_059,2020,RENOVACION DE CONTRATO,Ministerio de Obras Públicas y Comunicaciones,Fiscal de obra,"9.533.331,30","839.501,05","8.693.830,25","5.685.999,39","0,00","3.650.491,20","2.752.274,92",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100059,1912826,FUNCIONARIO_060,2023,CESE,Ministerio de Educación y Ciencias,Supervisor/a,"3.214.727,97","496.812,18","2.717.915,79","7.226.230,14","0,00","5.324.635,98","2.775.995,13",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100060,2033255,FUNCIONARIO_061,2020,CESE,Gobernación de Central,Director/a,"19.314.662,25","0,00","19.314.662,25","4.258.807,56","4.258.807,56","1.637.513,68","1.441.526,57",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100061,3971820,FUNCIONARIO_062,2019,OTRO,Gobernación de Central,Técnico/a,"27.269.455,24","4.779.421,22","22.490.034,02","7.340.974,01","0,00","4.073.846,94",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100062,1282762,FUNCIONARIO_063,2018,RENOVACION DE CONTRATO,MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,Fiscal de obra,"17.693.259,74","0,00","17.693.259,74","4.886.792,08","4.886.792,08","2.316.882,56","1.806.554,29",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100063,1656702,FUNCIONARIO_064,2019,CESE,Ministerio de Educación y Ciencias,Docente,"9.665.738,93","77.325,41","9.588.413,52","3.967.195,55","0,00","2.556.325,00","390.084,27",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100064,2712503,FUNCIONARIO_065,2019,ASUNCION AL CARGO,ESSAP,Técnico/a,"11.898.189,45","414.380,87","11.483.808,58","5.239.088,60","5.239.088,60","4.007.701,45","620.116,72",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100065,3596249,FUNCIONARIO_066,2018,ACTUALIZACION,Ministerio de Economía y Finanzas,Administrativo/a,"14.897.063,28","4.013.743,62","10.883.319,66","11.277.148,53","0,00","5.089.912,24",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100066,2450976,FUNCIONARIO_067,2023,ASUNCION AL CARGO,Municipalidad de Asunción,Chofer,"22.043.561,00","9.411.229,99","12.632.331,01","6.001.239,27","6.001.239,27","3.493.356,53","1.748.218,44",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100067,3577855,FUNCIONARIO_068,2024,ACTUALIZACION,Ministerio de Educación y Ciencias,Supervisor/a,"4.819.445,79","0,00","4.819.445,79","4.584.466,59","4.584.466,59","2.841.977,14","1.073.673,31",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100068,4131209,FUNCIONARIO_069,2018,OTRO,Instituto de Previsión Social,Auxiliar,"6.293.214,10","0,00","6.293.214,10","7.092.628,61","7.092.628,61","3.988.979,72",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100069,3530034,FUNCIONARIO_070,2019,ACTUALIZACION,Ministerio de Salud Pública y Bienestar Social,Administrativo/a,"4.803.885,85","0,00","4.803.885,85","7.097.811,51","7.097.811,51","4.681.827,99","2.857.800,35",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100070,4090649,FUNCIONARIO_071,2021,RENOVACION DE CONTRATO,Ministerio de Educación y Ciencias,Docente,"10.062.093,05","0,00","10.062.093,05","6.206.448,83","0,00","2.940.675,88","2.409.483,98",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100071,1890695,FUNCIONARIO_072,2024,ACTUALIZACION,Ministerio de Obras Públicas y Comunicaciones,Fiscal de obra,"140.633.424,17","24.658.765,29","115.974.658,88","6.303.291,81","6.303.291,81","4.706.508,74",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100072,3067801,FUNCIONARIO_073,2024,ACTUALIZACION,Ministerio de Obras Públicas y Comunicaciones,Técnico/a,"19.589.821,34","2.423.798,15","17.166.023,19","8.024.350,69","8.024.350,69","3.232.277,76","1.442.363,55",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100073,3761089,FUNCIONARIO_074,2020,RENOVACION DE CONTRATO,Ministerio de Educación y Ciencias,Administrativo/a,"948.250.878,90","0,00","948.250.878,90","7.185.500,74","0,00","3.745.173,08","2.483.076,11",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100074,4978400,FUNCIONARIO_075,2024,ASUNCION AL CARGO,ESSAP,Operador/a,"339.633,71","0,00","339.633,71","2.257.560,03","0,00","950.818,20","154.944,33",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100075,1264223,FUNCIONARIO_076,2023,ASUNCION AL CARGO,Municipalidad de Asunción,Chofer,"1.896.483,55","110.810,74","1.785.672,81","19.969.930,02","0,00","14.701.130,47",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100076,4943645,FUNCIONARIO_077,2021,RENOVACION DE CONTRATO,Instituto de Previsión Social,Enfermero/a,"62.071.453,19","6.469.546,34","55.601.906,85","4.879.589,58","0,00","2.829.264,27","1.535.110,93",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100077,4095900,FUNCIONARIO_078,2018,OTRO,Instituto de Previsión Social,Administrativo/a,"2.002.254,53","918.011,41","1.084.243,12","6.367.777,12","0,00","2.656.290,31","2.825.922,22",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100078,1347739,FUNCIONARIO_079,2024,ASUNCION AL CARGO,Gobernación de Central,Director/a,"37.341.250,20","109.111,51","37.232.138,69","5.475.479,29","0,00","4.005.904,50",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100079,1768734,FUNCIONARIO_080,2019,,Municipalidad de Asunción,Fiscalizador/a,"8.450.495,87","1.073.200,97","7.377.294,90","3.932.252,03","3.932.252,03","1.722.889,67",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100080,3008960,FUNCIONARIO_081,2022,ASUNCION AL CARGO,Ministerio de Salud Pública y Bienestar Social,Administrativo/a,"4.375.432,13","545.162,71","3.830.269,42","6.184.165,50","6.184.165,50","4.036.385,27",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100081,3489569,FUNCIONARIO_082,2018,ACTUALIZACION,Ministerio de Salud Pública y Bienestar Social,Lic. en Enfermería,"4.743.230,87","1.275.619,14","3.467.611,73","6.218.845,13","0,00","3.652.827,04",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100082,2732465,FUNCIONARIO_083,2023,ACTUALIZACION,Ministerio de Salud Pública y Bienestar Social,Chofer,"5.542.625,71","1.938.068,34","3.604.557,37","2.800.215,15","0,00","1.199.349,14",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100083,4489866,FUNCIONARIO_084,2024,ACTUALIZACION,Ministerio de Obras Públicas y Comunicaciones,Administrativo/a,"86.299.571,38","27.813.814,66","58.485.756,72","6.432.555,03","0,00","3.004.595,96",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100084,1051226,FUNCIONARIO_085,2023,ASUNCION AL CARGO,MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,Administrativo/a,"9.025.814,66","5.229.065,38","3.796.749,28","5.216.665,66","5.216.665,66","2.064.906,79","662.569,73",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100085,3632995,FUNCIONARIO_086,2024,RENOVACION DE CONTRATO,Municipalidad de Asunción,Chofer,"60.669.438,99","0,00","60.669.438,99","6.493.901,42","0,00","4.333.734,04","620.422,58",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100086,2531191,FUNCIONARIO_087,2024,CESE,Ministerio de Educación y Ciencias,Docente,"4.791.069,03","1.685.480,41","3.105.588,62","2.695.217,49","2.695.217,49","1.099.784,98",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100087,2606872,FUNCIONARIO_088,2021,,Instituto de Previsión Social,Auxiliar,"11.933.732,35","94.885,32","11.838.847,03","6.817.305,87","0,00","2.606.319,07","3.071.222,31",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100088,1699983,FUNCIONARIO_089,2020,ACTUALIZACION,Ministerio de Educación y Ciencias,Técnico/a,"12.932.489,86","5.052.292,05","7.880.197,81","4.087.033,56","4.087.033,56","2.346.608,27","399.253,59",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100089,2560473,FUNCIONARIO_090,2022,ACTUALIZACION,Ministerio de Educación y Ciencias,Supervisor/a,"8.775.443,60","0,00","8.775.443,60","3.500.909,69","0,00","1.558.325,13",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100090,4711802,FUNCIONARIO_091,2023,ACTUALIZACION,Gobernación de Central,Administrativo/a,"12.715.639,44","0,00","12.715.639,44","9.081.931,31","9.081.931,31","3.930.819,55",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100091,2931451,FUNCIONARIO_092,2020,ACTUALIZACION,Gobernación de Central,,"10.573.386,31","0,00","10.573.386,31","12.107.715,84","0,00","5.435.199,65",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100092,3366860,FUNCIONARIO_093,2020,ASUNCION AL CARGO,Ministerio de Educación y Ciencias,Supervisor/a,"16.620.659,41","8.853.587,39","7.767.072,02","5.242.544,48","0,00","3.326.455,94",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100093,3421212,FUNCIONARIO_094,2023,ASUNCION AL CARGO,Instituto de Previsión Social,Enfermero/a,"15.480.283,80","4.006.699,60","11.473.584,20","3.074.114,65","3.074.114,65","1.539.535,31","1.450.839,35",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100094,2789616,FUNCIONARIO_095,2022,ASUNCION AL CARGO,Instituto de Previsión Social,Administrativo/a,"6.344.097,78","1.107.609,73","5.236.488,05","6.232.005,62","0,00","4.143.516,44",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100095,3063499,FUNCIONARIO_096,2020,ASUNCION AL CARGO,Instituto de Previsión Social,Auxiliar,"357.994.739,73","0,00","357.994.739,73","2.755.446,89","2.755.446,89","1.471.250,06","720.217,76",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100096,4915612,FUNCIONARIO_097,2023,ASUNCION AL CARGO,Ministerio de Educación y Ciencias,Docente,"10.536.425,44","1.881.797,00","8.654.628,44","3.297.070,06","0,00","1.723.310,94",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100097,2514542,FUNCIONARIO_098,2021,CESE,Municipalidad de Asunción,Director/a,"60.704.340,78","0,00","60.704.340,78","8.624.127,30","8.624.127,30","4.316.840,22","705.569,80",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100098,4724044,FUNCIONARIO_099,2021,ASUNCION AL CARGO,Ministerio de Obras Públicas y Comunicaciones,Administrativo/a,"2.231.665,53","311.474,33","1.920.191,20","6.162.196,04","6.162.196,04","4.534.744,93","1.878.603,46",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100099,4433803,FUNCIONARIO_100,2019,CESE,Ministerio de Salud Pública y Bienestar Social,Lic. en Enfermería,"1.757.157,46","528.721,90","1.228.435,56","5.812.501,45","0,00","4.255.690,80","3.345.724,22",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100100,1892964,FUNCIONARIO_101,2021,OTRO,ESSAP,Administrativo/a,"4.559.301,48","0,00","4.559.301,48","3.922.694,78","3.922.694,78","1.455.229,31","1.345.215,16",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100101,3366610,FUNCIONARIO_102,2018,ASUNCION AL CARGO,Municipalidad de Asunción,Director/a,"4.154.033,77","442.241,10","3.711.792,67","7.764.465,08","0,00","5.651.062,27",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100102,4199675,FUNCIONARIO_103,2019,RENOVACION DE CONTRATO,Ministerio de Salud Pública y Bienestar Social,Técnico/a,"5.480.238,70","2.086.690,39","3.393.548,31","7.108.007,75","0,00","4.624.228,29",,Muestra didáctica inspirada en campos visibles de DJBR públicas
